Set,Run,Turn #,Length,Death Reason,Win?,# Kills,
HeadHunter v Hot Soup,12,143,17,Collide with Hot Soup's body,N,0,
HeadHunter v Hot Soup,13,56,9,N/A,Y,1,
HeadHunter v Hot Soup,14,168,16,Lost head-to-head with Hot Soup,N,0,
HeadHunter v Hot Soup,15,102,12,Collide with Hot Soup's body,N,0,
HeadHunter v Hot Soup,16,150,18,Collided with itself,N,0,
HeadHunter v Hot Soup,17,28,7,Lost head-to-head with Hot Soup,T,1,
HeadHunter v Hot Soup,18,29,5,Lost head-to-head with Hot Soup,N,0,
HeadHunter v Hot Soup,19,12,4,Lost head-to-head with Hot Soup,N,0,
HeadHunter v Hot Soup,20,69,10,Moved out of bounds,N,0,
HeadHunter v Hot Soup,21,75,8,N/A,Y,1,
HeadHunter v Hot Soup,22,111,13,Lost head-to-head with Hot Soup,N,0,
HeadHunter v Hot Soup,23,121,14,Moved out of bounds,N,0,
HeadHunter v Hot Soup,24,88,10,Lost head-to-head with Hot Soup,N,0,
HeadHunter v Hot Soup,25,303,29,N/A,Y,0,
HeadHunter v Hot Soup,26,167,18,N/A,Y,0,
HeadHunter v Hot Soup,27,150,17,Lost head-to-head with Hot Soup,N,0,
HeadHunter v Hot Soup,28,262,29,N/A,Y,1,
HeadHunter v Hot Soup,29,206,21,Lost head-to-head with Hot Soup,N,0,
HeadHunter v Hot Soup,30,25,7,Lost head-to-head with Hot Soup,T,1,
NomNom v HeadHunter v Noodle,1,7,4,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle,2,117,12,N/A,Y,0,
NomNom v HeadHunter v Noodle,3,10,5,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle,4,61,10,Moved out of bounds,N,0,
NomNom v HeadHunter v Noodle,5,10,5,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle,6,5,4,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle,7,5,4,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle,8,10,4,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle,9,14,4,Lost head-to-head with NomNom,N,0,
NomNom v HeadHunter v Noodle,10,17,6,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle,11,18,4,Lost head-to-head with NomNom,N,0,
NomNom v HeadHunter v Noodle,12,10,4,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle,13,7,4,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle,14,7,4,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle,15,8,5,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle,16,35,5,Moved out of bounds,N,0,
NomNom v HeadHunter v Noodle,17,40,5,N/A,Y,0,
NomNom v HeadHunter v Noodle,18,10,5,Lost head-to-head with NomNom,N,0,
NomNom v HeadHunter v Noodle,19,43,8,Lost head-to-head with NomNom,T,1,
NomNom v HeadHunter v Noodle,20,8,6,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle,21,10,4,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle,22,7,4,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle,23,7,4,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle,24,10,5,Lost head-to-head with NomNom,N,0,
NomNom v HeadHunter v Noodle,25,10,5,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle,26,5,4,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle,27,18,5,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle,28,19,5,Lost head-to-head with NomNom,N,0,
NomNom v HeadHunter v Noodle,29,7,4,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle,30,51,6,Lost head-to-head with NomNom,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,1,160,22,Collided with itself,N,0,
