Set,Run,Turn #,Length,Death Reason,Win?,# Kills,
NomNom v Hot Soup,10,17,6,Ran into Hot Soup's body,N,0,
NomNom v Hot Soup,11,106,12,Lost head-to-head with Hot Soup,N,0,
NomNom v Hot Soup,12,152,14,Collided with itself,N,0,
NomNom v Hot Soup,13,100,12,Lost head-to-head with Hot Soup,N,0,
NomNom v Hot Soup,14,28,5,Lost head-to-head with Hot Soup,N,0,
NomNom v Hot Soup,15,151,23,Collided with itself,N,0,
NomNom v Hot Soup,16,79,12,N/A,Y,0,
NomNom v Hot Soup,17,19,6,Ran into Hot Soup's body,N,0,
NomNom v Hot Soup,18,54,10,Lost head-to-head with Hot Soup,T,1,
NomNom v Hot Soup,19,179,18,Collided with itself,N,0,
NomNom v Hot Soup,20,190,21,N/A,Y,1,
NomNom v Hot Soup,21,19,5,Ran into Hot Soup's body,N,0,
NomNom v Hot Soup,22,69,9,Ran into Hot Soup's body,N,0,
NomNom v Hot Soup,23,154,16,Ran into Hot Soup's body,N,0,
NomNom v Hot Soup,24,89,15,N/A,Y,1,
NomNom v Hot Soup,25,83,11,Lost head-to-head with Hot Soup,N,0,
NomNom v Hot Soup,26,208,23,N/A,Y,1,
NomNom v Hot Soup,27,82,9,N/A,Y,1,
NomNom v Hot Soup,28,79,12,Lost head-to-head with Hot Soup,N,0,
NomNom v Hot Soup,29,280,25,Collided with itself,N,0,
NomNom v Hot Soup,30,193,21,Collided with itself,N,0,
NomNom v HeadHunter v Noodle,1,7,4,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle,2,81,12,Collided with itself,N,0,
NomNom v HeadHunter v Noodle,3,10,5,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle,4,11,4,Lost head-to-head with Noodle,N,0,
NomNom v HeadHunter v Noodle,5,10,5,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle,6,5,4,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle,7,5,4,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle,8,10,5,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle,9,89,9,Ran into Noodle's body,N,1,
NomNom v HeadHunter v Noodle,10,17,6,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle,11,96,11,Lost head-to-head with Noodle,N,1,
NomNom v HeadHunter v Noodle,12,10,5,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle,13,7,4,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle,14,7,4,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle,15,8,5,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle,16,44,7,Lost head-to-head with Noodle,N,0,
NomNom v HeadHunter v Noodle,17,40,7,Lost head-to-head with Noodle,N,1,
NomNom v HeadHunter v Noodle,18,61,11,Lost head-to-head with Noodle,N,1,
NomNom v HeadHunter v Noodle,19,43,8,Lost head-to-head with HeadHunter,T,2,
NomNom v HeadHunter v Noodle,20,25,6,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle,21,10,5,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle,22,7,4,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle,23,7,4,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle,24,91,13,N/A,Y,2,
NomNom v HeadHunter v Noodle,25,10,5,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle,26,5,4,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle,27,18,5,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle,28,164,17,N/A,Y,2,
NomNom v HeadHunter v Noodle,29,7,4,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle,30,215,27,Ran into Noodle's body,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,1,8,5,Lost head-to-head with Noodle,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,2,72,9,N/A,Y,2,
NomNom v HeadHunter v Noodle v Hot Soup,3,7,4,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,4,15,5,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,5,100,9,Lost head-to-head with Noodle,N,2,
NomNom v HeadHunter v Noodle v Hot Soup,6,5,4,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,7,179,23,Ran into Hot Soup's body,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,8,20,6,Lost head-to-head with Hot Soup,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,9,103,13,Ran into Noodle's body,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,10,150,22,Collided with itself,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,11,109,13,Ran into Hot Soup's body,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,12,108,12,Lost head-to-head with Noodle,T,2,
NomNom v HeadHunter v Noodle v Hot Soup,13,104,11,Lost head-to-head with Hot Soup,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,14,11,6,Ran into HeadHunter's body,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,15,50,7,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,16,7,4,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,17,7,4,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,18,55,9,Collided with itself,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,19,10,5,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,20,73,13,Collided with itself,N,2,
NomNom v HeadHunter v Noodle v Hot Soup,21,7,4,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,22,31,6,N/A,Y,2,
NomNom v HeadHunter v Noodle v Hot Soup,23,9,4,Lost head-to-head with Noodle,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,24,8,5,Lost head-to-head with Noodle,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,25,7,4,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,26,10,5,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,27,8,5,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,28,10,5,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,29,183,22,Collided with itself,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,30,7,4,Lost head-to-head with HeadHunter,N,1,
,,,,,,,
,avg turn #,89.9,14.23888889,avg length,,98,total kills
,,59.88,9.113333333,,,0.6533333333,average # kills
,,,,,win/loss/tie,,
,,,,,T,22,
,,,,,N,101,
,,,,,Y,27,
