Set,Run,Turn #,Length,Death Reason,Win?,# Kills,
HeadHunter v Noodle,19,20,7,N/A,Y,1,
HeadHunter v Noodle,20,61,8,N/A,Y,1,
HeadHunter v Noodle,21,94,15,N/A,Y,1,
HeadHunter v Noodle,22,70,14,N/A,Y,1,
HeadHunter v Noodle,23,164,17,Lost head-to-head with Headhunter,N,0,
HeadHunter v Noodle,24,154,19,N/A,Y,1,
HeadHunter v Noodle,25,74,15,N/A,Y,1,
HeadHunter v Noodle,26,95,13,N/A,Y,1,
HeadHunter v Noodle,27,61,12,N/A,Y,1,
HeadHunter v Noodle,28,69,10,Moved out of bounds,N,0,
HeadHunter v Noodle,29,181,21,N/A,Y,0,
HeadHunter v Noodle,30,114,14,Lost head-to-head with Headhunter,N,0,
NomNom v HeadHunter v Noodle,1,7,4,N/A,Y,0,
NomNom v HeadHunter v Noodle,2,117,12,Moved out of bounds,N,0,
NomNom v HeadHunter v Noodle,3,10,5,N/A,Y,0,
NomNom v HeadHunter v Noodle,4,61,11,N/A,Y,0,
NomNom v HeadHunter v Noodle,5,10,4,N/A,Y,0,
NomNom v HeadHunter v Noodle,6,5,4,N/A,Y,0,
NomNom v HeadHunter v Noodle,7,5,4,N/A,Y,0,
NomNom v HeadHunter v Noodle,8,10,4,N/A,Y,0,
NomNom v HeadHunter v Noodle,9,86,15,N/A,Y,1,
NomNom v HeadHunter v Noodle,10,17,5,N/A,Y,0,
NomNom v HeadHunter v Noodle,11,96,12,N/A,Y,1,
NomNom v HeadHunter v Noodle,12,10,4,N/A,Y,0,
NomNom v HeadHunter v Noodle,13,7,4,N/A,Y,0,
NomNom v HeadHunter v Noodle,14,7,4,N/A,Y,0,
NomNom v HeadHunter v Noodle,15,8,4,N/A,Y,0,
NomNom v HeadHunter v Noodle,16,44,8,N/A,Y,1,
NomNom v HeadHunter v Noodle,17,40,7,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle,18,61,12,N/A,Y,1,
NomNom v HeadHunter v Noodle,19,18,4,Lost head-to-head with NomNom,N,0,
NomNom v HeadHunter v Noodle,20,25,8,N/A,Y,0,
NomNom v HeadHunter v Noodle,21,10,4,N/A,Y,0,
NomNom v HeadHunter v Noodle,22,7,4,N/A,Y,0,
NomNom v HeadHunter v Noodle,23,7,4,N/A,Y,0,
NomNom v HeadHunter v Noodle,24,91,9,Lost head-to-head with NomNom,N,0,
NomNom v HeadHunter v Noodle,25,10,5,N/A,Y,0,
NomNom v HeadHunter v Noodle,26,5,4,N/A,Y,0,
NomNom v HeadHunter v Noodle,27,18,5,N/A,Y,0,
NomNom v HeadHunter v Noodle,28,164,15,Lost head-to-head with NomNom,N,0,
NomNom v HeadHunter v Noodle,29,7,4,N/A,Y,0,
NomNom v HeadHunter v Noodle,30,215,20,N/A,Y,0,
NomNom v HeadHunter v Noodle v Hot Soup,1,8,5,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,2,62,8,Collided with Hot soup's body,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,3,260,29,N/A,Y,1,
NomNom v HeadHunter v Noodle v Hot Soup,4,203,24,Collided with itself,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,5,100,9,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,6,189,26,Collided with Hot soup's body,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,7,65,6,Moved out of bounds,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,8,245,34,N/A,Y,0,
NomNom v HeadHunter v Noodle v Hot Soup,9,103,13,N/A,Y,2,
NomNom v HeadHunter v Noodle v Hot Soup,10,33,4,Moved out of bounds,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,11,17,4,collided with NomNom's body,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,12,108,12,Lost head-to-head with NomNom,T,1,
NomNom v HeadHunter v Noodle v Hot Soup,13,44,6,Lost head-to-head with NomNom,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,14,182,22,Collided with Hot soup's body,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,15,239,22,Collided with itself,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,16,116,10,Lost head-to-head with Hot Soup,N,0,
