Set,Run,Turn #,Length,Death Reason,Win?,# Kills,
Noodle v Hot Soup,12,238,18,Lost head-to-head with Noodle,N,0,
Noodle v Hot Soup,13,256,22,N/A,Y,0,
Noodle v Hot Soup,14,221,23,N/A,Y,0,
Noodle v Hot Soup,15,176,17,Lost head-to-head with Noodle,N,0,
Noodle v Hot Soup,16,39,8,N/A,Y,0,
Noodle v Hot Soup,17,280,23,N/A,Y,0,
Noodle v Hot Soup,18,243,24,N/A,Y,0,
Noodle v Hot Soup,19,21,4,N/A,Y,0,
Noodle v Hot Soup,20,253,19,N/A,Y,1,
Noodle v Hot Soup,21,187,20,N/A,Y,1,
Noodle v Hot Soup,22,59,9,Lost head-to-head with Noodle,N,0,
Noodle v Hot Soup,23,238,23,Lost head-to-head with Noodle,N,0,
Noodle v Hot Soup,24,107,13,N/A,Y,1,
Noodle v Hot Soup,25,258,24,Collided with itself,N,0,
Noodle v Hot Soup,26,67,10,N/A,Y,0,
Noodle v Hot Soup,27,190,17,Lost head-to-head with Noodle,N,0,
Noodle v Hot Soup,28,133,15,N/A,Y,0,
Noodle v Hot Soup,29,101,11,N/A,Y,0,
Noodle v Hot Soup,30,167,20,Lost head-to-head with Noodle,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,1,160,22,N/A,Y,0,
NomNom v HeadHunter v Noodle v Hot Soup,2,64,7,Lost head-to-head with NomNom,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,3,260,22,Lost head-to-head with Noodle,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,4,203,24,N/A,Y,0,
NomNom v HeadHunter v Noodle v Hot Soup,5,100,10,N/A,Y,0,
NomNom v HeadHunter v Noodle v Hot Soup,6,189,16,N/A,Y,1,
NomNom v HeadHunter v Noodle v Hot Soup,7,179,19,N/A,Y,2,
NomNom v HeadHunter v Noodle v Hot Soup,8,245,16,Out of health,N,2,
NomNom v HeadHunter v Noodle v Hot Soup,9,53,6,Lost head-to-head with Noodle,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,10,150,14,N/A,Y,1,
NomNom v HeadHunter v Noodle v Hot Soup,11,178,17,N/A,Y,2,
NomNom v HeadHunter v Noodle v Hot Soup,12,50,5,Lost head-to-head with headhunter,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,13,104,12,N/A,Y,1,
NomNom v HeadHunter v Noodle v Hot Soup,14,182,17,N/A,Y,2,
NomNom v HeadHunter v Noodle v Hot Soup,15,239,24,N/A,Y,0,
NomNom v HeadHunter v Noodle v Hot Soup,16,116,11,N/A,Y,1,
NomNom v HeadHunter v Noodle v Hot Soup,17,106,12,N/A,Y,1,
NomNom v HeadHunter v Noodle v Hot Soup,18,283,22,Collided with Noodle's body,N,1,
NomNom v HeadHunter v Noodle v Hot Soup,19,217,22,N/A,Y,0,
NomNom v HeadHunter v Noodle v Hot Soup,20,73,13,N/A,Y,0,
NomNom v HeadHunter v Noodle v Hot Soup,21,240,23,N/A,Y,0,
NomNom v HeadHunter v Noodle v Hot Soup,22,17,4,Lost head-to-head with headhunter,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,23,93,13,N/A,Y,0,
NomNom v HeadHunter v Noodle v Hot Soup,24,311,31,Moved out of bounds,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,25,65,5,N/A,Y,0,
NomNom v HeadHunter v Noodle v Hot Soup,26,149,13,Moved out of bounds,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,27,164,16,Lost head-to-head with Noodle,N,0,
NomNom v HeadHunter v Noodle v Hot Soup,28,130,15,N/A,Y,1,
NomNom v HeadHunter v Noodle v Hot Soup,29,183,19,N/A,Y,0,
NomNom v HeadHunter v Noodle v Hot Soup,30,26,6,N/A,Y,1,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,avg turn #,303.5866667,30.27333333,avg length,,55,total kills
,,137.6083333,14.33333333,,,0.4583333333,average # kills
,,,,,win/loss/tie,,
,,,,,Y,75,
,,,,,T,6,
,,,,,N,39,
